close,volume,open,high,low
190.29,37847260,190.3,192.14,189.34
189.91,20912890,191.9,192.2,189.07
190.98,23975350,194.99,195.19,190.1
194.21,19005150,194.61,195.96,193.61
194.82,16553500,193.06,194.85,192.43
193,18680930,192.45,193.6601,192.05
191.61,15955820,190.68,191.96,189.56
191.44,20670830,191.78,192.43,190.17
191.88,20182050,189.69,192.55,189.69
190.4,16365720,191.78,191.8,189.93
191.45,15515000,189.75,191.87,189.2
190.91,15009800,191.52,192.65,190.415
191.33,12506830,191.08,191.84,190.9
191.03,18000180,189.53,191.41,189.31
187.88,18776390,188.5,189.7799,187.61
190.35,15801370,190.71,191.28,190.1801
190.58,19636390,189.5,190.68,189.3
187.97,17426160,185.42,188.434,185.2
185.4,16543880,185.26,186.41,184.28
183.92,13954810,187.79,187.95,183.54
187.18,17675210,183.82,187.3,183.42
185.11,22551660,186.29,187.19,182.91
185.5,17352380,184.1,186.21,183.8
184.16,24987260,185.228,187.28,184.03
184.43,24378480,182.99,186.53,182.54
182.17,31632320,183.4,184.92,180.73
184.92,27185130,186.12,186.15,184.7
185.46,25649240,187.25,188.35,184.94
186.5,20490090,186.35,187.2,185.73
185.69,33538550,185.14,186.33,183.45
188.74,18458410,187.88,189.22,187.2
